City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Hami,CN,42.8,93.45,36.7,66,0,4.27,clear sky
158,Kahului,US,20.89,-156.47,75.2,69,75,3.36,broken clouds
159,Zermatt,CH,46.02,7.75,41.0,36,5,16.11,clear sky
160,Touros,BR,-5.2,-35.46,86.0,62,40,19.46,scattered clouds
161,Husavik,IS,66.04,-17.34,39.2,44,75,19.46,light intensity drizzle
162,Prince Rupert,CA,54.32,-130.32,39.2,74,90,4.7,overcast clouds
163,Okato,NZ,-39.2,173.88,59.0,95,94,1.01,light rain
164,Meteti,PA,8.5,-77.98,83.53,63,37,10.38,scattered clouds
165,Abaza,RU,52.66,90.09,33.04,94,100,3.38,overcast clouds
166,Kiama,AU,-34.68,150.87,59.0,88,76,4.76,light rain
167,Ust-Barguzin,RU,53.45,108.98,20.71,85,97,7.11,overcast clouds
168,Hammerfest,NO,70.66,23.68,42.8,81,75,42.5,broken clouds
169,Tazovskiy,RU,67.47,78.7,13.53,96,100,16.51,overcast clouds
170,Luanda,AO,-8.84,13.23,82.4,74,20,10.29,few clouds
171,Gorodishche,RU,48.8,44.47,43.18,75,75,13.42,broken clouds
172,Wynyard,AU,-41.0,145.72,41.0,81,26,1.99,scattered clouds
173,Saint-Georges,GD,12.06,-61.75,86.0,79,75,19.46,broken clouds
174,Boke,GN,10.94,-14.3,86.4,64,35,3.53,scattered clouds
175,Cunha,BR,-23.07,-44.96,82.4,39,20,5.82,few clouds
176,Chabua,IN,27.48,95.17,65.28,94,0,1.99,clear sky
177,Bethel,US,41.37,-73.41,70.0,48,1,9.17,clear sky
178,Olinda,BR,-8.01,-34.86,86.0,70,75,13.87,broken clouds
179,Saint-Augustin,CA,51.23,-58.65,44.2,64,47,6.96,scattered clouds
180,Olafsvik,IS,64.89,-23.71,35.64,82,98,32.82,overcast clouds
181,Borogontsy,RU,62.67,131.17,-6.61,90,94,2.1,overcast clouds
182,Esperance,AU,-33.87,121.9,53.6,81,90,9.17,overcast clouds
183,Atuona,PF,-9.8,-139.03,77.99,77,70,20.27,broken clouds
184,Eyrarbakki,IS,63.86,-21.15,35.6,64,75,18.34,light rain
185,Anjiang,CN,27.32,110.1,56.88,87,39,1.57,light rain
186,Tuktoyaktuk,CA,69.45,-133.04,14.0,72,75,12.75,broken clouds
187,Toamasina,MG,-18.17,49.38,77.0,83,75,6.6,shower rain
188,Laurel,US,39.1,-76.85,73.0,40,1,5.82,clear sky
189,Kaitangata,NZ,-46.28,169.85,48.99,91,16,1.99,few clouds
190,Qaqortoq,GL,60.72,-46.03,26.6,86,90,4.7,snow
191,Cherskiy,RU,68.75,161.3,12.51,96,71,14.83,broken clouds
192,Huarmey,PE,-10.07,-78.15,69.51,62,63,11.3,broken clouds
193,Tilichiki,RU,60.47,166.1,27.66,91,54,6.73,broken clouds
194,Richards Bay,ZA,-28.78,32.04,73.31,81,27,3.58,scattered clouds
195,Buraydah,SA,26.33,43.98,77.0,25,20,6.93,few clouds
196,Tadine,NC,-21.55,167.88,75.47,84,4,5.95,clear sky
197,Cap Malheureux,MU,-19.98,57.61,73.99,68,8,8.99,clear sky
198,Collie,AU,-33.37,116.15,59.0,46,18,8.52,few clouds
199,Bredasdorp,ZA,-34.53,20.04,60.8,67,94,3.36,overcast clouds
200,Najran,SA,17.49,44.13,73.4,29,20,4.7,few clouds
201,Chumikan,RU,54.72,135.31,14.4,92,8,14.05,clear sky
202,Tamandare,BR,-8.76,-35.1,82.58,71,89,10.8,overcast clouds
203,Skibbereen,IE,51.55,-9.27,50.0,87,75,13.87,broken clouds
204,Gazanjyk,TM,39.24,55.52,63.37,23,97,8.16,overcast clouds
205,Buchanan,LR,5.88,-10.05,82.4,83,75,6.93,broken clouds
206,Arona,ES,28.1,-16.68,73.4,64,75,10.29,broken clouds
207,Vardo,NO,70.37,31.11,35.6,93,75,29.97,broken clouds
208,Yashkul,RU,46.17,45.34,48.38,68,80,9.53,broken clouds
209,Ewing,US,40.27,-74.8,72.0,48,52,7.11,broken clouds
210,Flin Flon,CA,54.77,-101.86,14.0,85,90,5.82,light snow
211,Trussville,US,33.62,-86.61,77.0,53,20,3.36,few clouds
212,Laguna,US,38.42,-121.42,61.0,41,1,6.93,clear sky
213,Kirovohrad,UA,48.51,32.26,47.19,75,64,12.26,broken clouds
214,Finspang,SE,58.71,15.77,53.6,87,34,6.93,scattered clouds
215,Guerrero Negro,MX,27.98,-114.06,80.96,37,69,6.26,broken clouds
216,Puerto Baquerizo Moreno,EC,-0.9,-89.6,73.4,73,75,13.87,broken clouds
217,Camacha,PT,33.08,-16.33,64.4,63,40,16.11,scattered clouds
218,Pevek,RU,69.7,170.31,22.24,96,100,18.41,overcast clouds
219,Faya,SA,18.39,42.45,60.8,87,0,4.7,clear sky
220,Hithadhoo,MV,-0.6,73.08,84.0,67,3,2.62,clear sky
221,Satinka,RU,52.38,41.68,41.74,80,94,12.57,light rain
222,Provideniya,RU,64.38,-173.3,35.91,83,97,33.49,overcast clouds
223,Skelleftea,SE,64.75,20.95,50.0,57,0,19.46,clear sky
